,campany_name,rating,headquarter,headquarter.1,num_of_locations,pub_or_pri,how long since founded,employees,reviews,salaries,jobs,interviews,Country,continent,latitude,longitude
209,Ekart Logistics ,4.2,"San Francisco,California + 386 more",San Francisco,387,Private,13,5k-10k Employees (India),1700,5100,0,86,United States of America,Americas,,
210,KPIT Technologies ,3.5,"Pune,Maharashtra + 20 more",Pune,21,Public,32,5k-10k Employees (India),1700,13600,146,68,India,Asia,20.593684,78.96288
211,Radisson Hotels ,3.9,"Minnetonka,Minnesota + 90 more",Minnetonka,91,Private,113,10k-50k Employees (India),1700,5700,5,22,United States of America,Americas,,
212,Kotak Mahindara Life Insurance ,3.9,"Mumbai,Maharashtra + 161 more",Mumbai,162,Public,21,10k-50k Employees (India),1600,10200,27,71,India,Asia,20.593684,78.96288
213, Publicis Sapient ,3.9,"New York,New York + 16 more",New York,17,Private,32,1k-5k Employees (India),1700,20500,120,179,United States of America,Americas,,
214,HDFC Ergo General Insurance ,4.0,"Mumbai,Maharashtra + 173 more",Mumbai,174,Public,20,5k-10k Employees (India),1600,8400,10,51,India,Asia,20.593684,78.96288
215,IndiGo ,3.5,"Boston,Massachusetts + 72 more",Boston,73,Private,17,10k-50k Employees (India),1600,9100,192,172,United States of America,Americas,,
216,Ola Cabs ,3.5,Bangalore + 86 more,Bangalore,86,Private,12,10k-50k Employees (India),2300,10000,494,74,India,Asia,20.593684,78.96288
217,Eureka Forbes ,4.0,"Mumbai,Maharashtra + 147 more",Mumbai,148,Private,40,5k-10k Employees (India),1600,5200,4,26,India,Asia,20.593684,78.96288
218,GeBBS Healthcare Solutions ,3.9,"Culver City,California + 11 more",Culver City,12,Private,17,5k-10k Employees (India),1500,6800,43,41,United States of America,Americas,,
219,Nestle ,4.1,Vevey + 181 more,Vevey,181,Public,63,10k-50k Employees (India),1700,7200,15,116,Switzerland,Europe,46.818188,8.227512
